Objektbez,Jahr,namident,sprcode,Geschlecht,gebjahr,todjahr,ausstellungen,events,performances,literatur,rating,NATIONALITAET
"peinture à l'huile",,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
Ölmalerei,,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
Fotografie,,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
"peinture à l'huile",,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
"peinture à l'huile",1833,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
"peinture à l'huile",1845,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
Aquarell,1921,"Gimmi, Wilhelm",FRA,M,1886,1965,64,0,0,82,***,CH
Ölmalerei,1918,"Gimmi, Wilhelm",FRA,M,1886,1965,64,0,0,82,***,CH
Ölmalerei,1943,"Gimmi, Wilhelm",FRA,M,1886,1965,64,0,0,82,***,CH
Plastik,1973,"Mattioli, Silvio",DEU,M,1929,2011,41,0,0,57,***,CH
Ölmalerei,1874,"Preiswerk, Theophil",DEU,M,1846,1919,5,0,0,11,***,CH
Ölmalerei,1864,"Preiswerk, Theophil",DEU,M,1846,1919,5,0,0,11,***,CH
Ölmalerei,1945,"Mühlenen, Max von",DEU,M,1903,1971,43,0,0,42,***,CH
Ölmalerei,1933,"Mühlenen, Max von",DEU,M,1903,1971,43,0,0,42,***,CH
"disegno a matita",1972,"Dobrzanski, Edmondo",ITA,M,1914,1997,38,0,0,40,***,CH
"pittura ad olio",1891,"Rossi, Luigi",ITA,M,1853,1923,49,0,0,53,****,CH
"pittura ad olio",1894,"Rossi, Luigi",ITA,M,1853,1923,49,0,0,53,****,CH
Ölmalerei,1915,"Rossi, Luigi",ITA,M,1853,1923,49,0,0,53,****,CH
Ölmalerei,1948,"Hindenlang, Karl Heinrich",DEU,M,1894,1960,36,0,0,42,***,CH
Ölmalerei,1924,"Hindenlang, Karl Heinrich",DEU,M,1894,1960,36,0,0,42,***,CH
Ölmalerei,1919,"Hindenlang, Karl Heinrich",DEU,M,1894,1960,36,0,0,42,***,CH
Ölmalerei,1942,"Hindenlang, Karl Heinrich",DEU,M,1894,1960,36,0,0,42,***,CH
Ölmalerei,1920,"Hindenlang, Karl Heinrich",DEU,M,1894,1960,36,0,0,42,***,CH
Ölmalerei,1945,"Bächtiger, Augustin Meinrad",DEU,M,1888,1971,5,0,0,11,***,CH
Ölmalerei,1938,"Hügin, Karl Otto",DEU,M,1887,1963,36,0,0,47,***,CH
